?precursor	?precursorTitle
<https://zbmath.org/1076476>	"On the algebra of noncommutative residuation: Polrims and left residuation algebras"
<https://zbmath.org/590920>	"On a property of BCK-identities"
<https://zbmath.org/5584935>	"On axiom systems for \\(R_0\\)-algebras"
<https://zbmath.org/6678649>	"Commutative energetic subsets of BCK-algebras"
<https://zbmath.org/975736>	"Minimal axiomatic system of fuzzy logical algebra"
<https://zbmath.org/5233155>	"On the variety generated by involutive pocrims"
<https://zbmath.org/5774061>	"Representable good EQ-algebras"
<https://zbmath.org/6024190>	"On good EQ-algebras"
<https://zbmath.org/7118182>	"Commutative deductive systems in probability theory on generalizations of fuzzy structures"
<https://zbmath.org/6318771>	"Anti fuzzy implicative ideals in BCK-algebras"
<https://zbmath.org/5857441>	"A theorem of representation for Hilbert algebras"
<https://zbmath.org/6985164>	"Nodal filters in hoop algebras"
<https://zbmath.org/2066280>	"Some direct ascendents of Wajsberg and MV algebras"
<https://zbmath.org/5265559>	"A basic algebra is an MV-algebra if and only if it is a BCC-algebra"
<https://zbmath.org/1615346>	"On embedding Hilbert algebras in BCK-algebras"
<https://zbmath.org/5238925>	"Pseudo BCK-semilattices"
<https://zbmath.org/845939>	"On atoms in BBC-algebras"
<https://zbmath.org/4204312>	"Corrections to some results for BCK logics and algebras"
<https://zbmath.org/6703460>	"Positive implicative \\((\\in,\\in,\\vee q)\\)-fuzzy ideals (\\((\\in,\\in,\\vee q)\\)-fuzzy ideals, fuzzy ideals with thresholds) of BCK-algebras"
<https://zbmath.org/5871988>	"On anti fuzzy ideals of BCK-algebras"
<https://zbmath.org/1698103>	"Algebras inspired by logics"
<https://zbmath.org/5624217>	"Equational spectrum of Hilbert varieties"
<https://zbmath.org/5925957>	"On intuitional fuzzifying ideals in BCK-algebra based on \\(L^*\\)-lattice-valued logic"
<https://zbmath.org/6021815>	"A new branch of the pure algebra: BCL-algebras"
<https://zbmath.org/5281553>	"Algebraic structures derived from BCK-algebras"
<https://zbmath.org/5598394>	"On BCK algebras. I.b: An attempt to treat unitarily the algebras of logic. New algebras"
<https://zbmath.org/6655021>	"Internal states on equality algebras"
<https://zbmath.org/6848898>	"A course in BE-algebras"
<https://zbmath.org/6258796>	"On algebras with a generalized implication"
<https://zbmath.org/7289571>	"Hilbert algebras with supremum generated by finite chains"
<https://zbmath.org/4193756>	"MV and BCK-algebras on posets"
<https://zbmath.org/5292884>	"On BCK algebras. II: New algebras. The ordinal sum (product) of two bounded BCK algebras"
<https://zbmath.org/6028059>	"On BCK algebras. III: Classes of examples of proper MV algebras, BL algebras and divisible bounded residuated lattices, with or without condition (WNM)"
<https://zbmath.org/5068043>	"On varieties of biresiduation algebras"
<https://zbmath.org/5652290>	"A general Glivenko theorem"
<https://zbmath.org/5308967>	"On BCK algebras. I.a: An attempt to treat unitarily the algebras of logic. New algebras"
<https://zbmath.org/6081580>	"A class of BCK-algebras"
<https://zbmath.org/1071751>	"The distributive law for MV-algebras"
<https://zbmath.org/5041404>	"Foldness of commutative ideals in BCK-algebras"
<https://zbmath.org/5209000>	"Computational method to characterize \\(S_3\\)-algebras"
<https://zbmath.org/5498785>	"Characterisations of Nelson algebras"
<https://zbmath.org/4193755>	"Closed ideals and p-semisimple BCI-algebras"
<https://zbmath.org/7067262>	"On categorical equivalences of equality algebras and monadic equality algebras"
<https://zbmath.org/7124021>	"Generalized states on EQ-algebras"
<https://zbmath.org/5006570>	"Annihilators in BCK-algebras."
